

In GA, the initial population is a population of possible solutions that is initialized first. The produced population is refined by running the solutions through the crossover, mutation, and selection operations. After a predetermined number of iterations, the solution with the highest fitness value of a predefined objective function is deemed the optimal solution.
A binary encoding technique is used to represent each solution or chromosome in the population. The number of sensor nodes equals the size of the chromosomes. The sensor node number is determined by the index value of the chromosomal array, and the value of that index indicates whether the node is acting as a cluster head or not. If the value is represented by bit '1,' the associated sensor node is the cluster head for that solution; if the value is '0,' the corresponding sensor node is the member node.
As a result, because each generation is contained inside the iterations, no data set is required. However, we demonstrate how iteration works inside the clustr in this file.




Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH	Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH
91	802.22	9		91	218.23	38		91	212.46	44		91	230.44	44		91	210.88	70		91	186.72	62	91	212.4647745	44		91	146.3914694	44		91	127.5956143	55		91	157.8942351	25		91	152.94	72		91	160.5948501	44		91	129.7940486	17		91	133.11	44		91	147.2149481	33		91	811.2625697	31
92	802.22	9		92	218.23	38		92	212.46	44		92	230.44	44		92	210.88	70		92	186.72	62	92	212.4647745	44		92	146.3914694	44		92	127.5956143	55		92	157.8942351	25		92	152.94	72		92	160.5948501	44		92	129.7940486	17		92	133.11	44		92	147.2149481	33		92	811.2625697	31
93	802.22	9		93	218.23	38		93	212.46	44		93	230.44	44		93	210.88	70		93	186.72	62	93	212.4647745	44		93	146.3914694	44		93	127.5956143	55		93	157.8942351	25		93	152.94	72		93	160.5948501	44		93	129.7940486	17		93	133.11	44		93	147.2149481	33		93	811.2625697	31
94	802.22	9		94	218.23	38		94	212.46	44		94	230.44	44		94	210.88	70		94	186.72	62	94	212.4647745	44		94	146.3914694	44		94	127.5956143	55		94	157.8942351	25		94	152.94	72		94	160.5948501	44		94	129.7940486	17		94	133.11	44		94	147.2149481	33		94	811.2625697	31
95	802.22	9		95	218.23	38		95	212.46	44		95	230.44	44		95	210.88	70		95	186.72	62	95	212.4647745	44		95	146.3914694	44		95	127.5956143	55		95	157.8942351	25		95	152.94	72		95	160.5948501	44		95	129.7940486	17		95	133.11	44		95	147.2149481	33		95	811.2625697	31
96	802.22	9		96	218.23	38		96	212.46	44		96	230.44	44		96	210.88	70		96	186.72	62	96	212.4647745	44		96	146.3914694	44		96	127.5956143	55		96	157.8942351	25		96	152.94	72		96	160.5948501	44		96	129.7940486	17		96	133.11	44		96	147.2149481	33		96	811.2625697	31
97	802.22	9		97	218.23	38		97	212.46	44		97	230.44	44		97	210.88	70		97	186.72	62	97	212.4647745	44		97	146.3914694	44		97	127.5956143	55		97	157.8942351	25		97	152.94	72		97	160.5948501	44		97	129.7940486	17		97	133.11	44		97	147.2149481	33		97	811.2625697	31
98	802.22	9		98	218.23	38		98	212.46	44		98	230.44	44		98	210.88	70		98	186.72	62	98	212.4647745	44		98	146.3914694	44		98	127.5956143	55		98	157.8942351	25		98	152.94	72		98	160.5948501	44		98	129.7940486	17		98	133.11	44		98	147.2149481	33		98	811.2625697	31
99	802.22	9		99	218.23	38		99	212.46	44		99	230.44	44		99	210.88	70		99	186.72	62	99	212.4647745	44		99	146.3914694	44		99	127.5956143	55		99	157.8942351	25		99	152.94	72		99	160.5948501	44		99	129.7940486	17		99	133.11	44		99	147.2149481	33		99	811.2625697	31
100	802.2	9		100	218.23	38		100	212.46	44		100	230.44	44		100	210.88	70		100	186.72	62	100	212.4647745	44		100	146.3914694	44		100	127.5956143	55		100	157.8942351	25		100	152.94	72		100	160.5948501	44		100	129.7940486	17		100	133.11	44		100	147.2149481	33		100	811.2625697	31
